SMILES,log-likelihoodog
O=C(NCc1ccc(-n2nnc(-n3nc(-c4ccns4)s3)n2)cc1)OCc1ccccc1,27.856533853336103
CON=C(N)Cc1ccc(-c2nsc(-n3c(-c4cccs4)nc4c3OCO4)n2)cc1,27.209644508624063
Cc1nc2sc(-c3nc4cnn(-c5ccc(-n6cnc(N)c6)cc5)c4n3C)nc2s1,27.015929047524136
COC1CNCc2nc(-c3c(C)nc(-c4cccs4)n3-c3nc(C)ns3)sc21,25.855847653977744
C[C@H](c1ccc(-n2cc(-c3csnn3)nn2)cc1)N1CCC(n2cnc3ccccc32)N=N1,25.622686125958783
Cn1nnc(-c2nc(C(=O)Nc3c(-c4ccsc4)nc4sccn34)cs2)n1,25.48075639582697
c1csc(-c2ccc(-n3ccc(Sc4nc(N5CCCC5)ns4)n3)nn2)n1,25.139076758663172
CSc1nccc(-c2ncc(-c3nnc(-c4ccc5c(c4)OCCNC5)n3C)s2)n1,25.137490716037608
Cc1ccc(-c2ncn(-c3cc(-c4nncs4)nc(-c4csc5c4CCNC5)n3)n2)o1,24.90841251237996
O=C(O)c1nsnc1-c1ncc(-c2cn(Cc3cccs3)c(N3CCCC3)n2)s1,24.75837176841965
CNc1csc(-n2cc(-c3cn(-c4ccc5sc(C(F)F)nc5c4)nn3)nn2)n1,24.645720966369424
COc1ccc(-n2sc3cc(-c4nc(-c5ccc6c(c5)CNCC6)no4)nnc32)nc1,24.633708123711184
O=C(O)CSc1ncc2c(n1)C=Cc1sc(-n3nnc(-c4cccs4)n3)cc1N2,24.520848409455603
c1ccc(-n2nnc(-c3sc4ccnn4c3-c3nnc(NCC4CC4)s3)n2)cc1,24.371773100057798
O=C(O)c1ccc(CSc2ccn(-c3nc(-n4ncc5cccnc54)ns3)n2)cc1,24.221694064965213
CSc1nc2c(s1)[C@H](c1cccc(-n3nnnc3-c3cscn3)n1)CCN2,24.12970541993038
O=C(O)c1cnn(-c2ccccc2)c1-c1nnn(-c2ccc3c(c2)OC[C@H]2NCC[C@H]32)n1,24.087582912915792
Cn1cnc(-c2nc3sc(-c4cn(CC(=O)c5ccc(F)cc5)nn4)nc3s2)n1,23.829978939725052
Cn1cnc2ccc(-c3nc(-n4nnc(-c5ccc(C(=O)O)s5)n4)cs3)cc21,23.752680469338717
COc1ccc(-n2nc(-c3cn(CC4CCCc5nnncc54)nn3)sc2=S)cc1,23.746703022837526
COc1cnn(-c2nsc(-n3ncc4ccc(-c5nc(C(=O)O)cs5)cc43)n2)c1,23.74363139674395
COc1ccc2c(-n3nc(-c4cccs4)nc3-n3cc(C(=O)O)nn3)csc2c1,23.645239413811893
COc1ccc(-n2cc(-c3ccnc4cc(/C=C/c5nn[nH]n5)nn34)sc2=S)nc1,23.636593151449496
COc1ccc(-c2nncn2-c2nnc3n2N(CC(=O)O)c2ccccc2S3)cc1,23.574148085560054
CNc1nc(F)cc(-c2nn(C)c3nc(-c4nnc(-c5cccs5)s4)sc23)n1,23.570704141796586
Sc1ncsc1-c1ccc(Cn2nnc(-c3nc(-c4cscn4)no3)n2)cc1,23.54665524979302
C[C@H](Nc1nc2cnccc2s1)c1ccc(-n2nnc(-c3nccs3)n2)s1,23.41440560755647
CNc1nc(-c2cn(-c3ccccc3)nn2)nc2sc(=S)n(Cc3ccon3)c12,23.332232369451315
Cc1cc(-c2nn(-c3ccc4cc(N)sc4c3)c(=S)s2)nc(-n2nccn2)n1,23.32257013739914
c1ccc(-n2nnc(-c3sc4nsnc4c3-c3ccc(Cn4cncn4)cc3)n2)cc1,23.319286395794673
O=C(O)c1ccc(-c2cn(Cc3ccc(-c4nnsn4)cc3C3CCS3)nn2)s1,23.29258223425548
COc1ccc(-n2nnc(-c3ccc4nc(SC5=NCCS5)nc(N)c4c3)n2)cc1,23.146861324515264
O=C(O)c1cscc1-c1csc(-c2cn(Cc3ccc(-n4ccnc4)nn3)cn2)n1,23.067351070077247
O=C(OCc1ccc(-n2cc(-n3ncc4cccnc43)nn2)cc1)Sc1nccs1,23.029873865909618
CSc1ccn(-c2nc(CO)cc(-n3ncc4cc(-c5ccsn5)sc43)n2)n1,22.953087097280086
O=C(O)c1nc(-c2nnc(-n3nc(CCN4CCc5ccccc54)s3)s2)cs1,22.922391161023885
CNc1ccc(-c2nc(-c3nnsn3)n(-c3ccc(N4CCCCC4)s3)n2)cn1,22.863764511185295
CNc1csc(-n2nnc(-c3nc4c(C)n(-c5ccc(Cl)cc5)nc4s3)n2)n1,22.84467915329883
Cn1c(-c2cc3nsnc3c(NCC3CCCO3)n2)nc2c1nnn2-c1ccsc1,22.83195438455706
COc1ccc(-c2nc3nc(C(=O)O)cc(N4CCC5(CCCC5)SC4)n3n2)cn1,22.805772001821623
COc1ccc(-n2cc(-c3cscn3)nn2)cc1C(=O)Nc1nnc2sccn12,22.76786364956741
c1cnn(-c2ccc(-c3ccc(CNc4nnc(-c5nccs5)s4)s3)nn2)c1,22.749674447923898
Oc1ccc(-c2nnc(SCc3nnn(-c4ccc5c(c4)CCC5)n3)s2)cn1,22.711786444153773
Cc1ccc(-n2ncc(C(=O)O)c2Oc2ccc(-n3nc4ncsc4n3)cc2)s1,22.674349361699043
OC[C@@H]1COc2ccc(-c3cnn(-c4nc(-c5nnn(-c6ccccc6)n5)cs4)c3)cc21,22.674222407813634
c1nc(-c2cnsc2)n(-c2ccc(Oc3nc(N4CCCC4)n4nccc4n3)cc2)n1,22.66677482802949
c1cnn(-c2nsc(-c3nnsc3N[C@H]3C[C@H](c4ccc5c(c4)OCO5)C3)n2)c1,22.644801372536094
O=C(O)COc1ccc(-n2nc(-c3cncs3)nc2-n2ncc3cccnc32)c(F)c1,22.636921793233988
COc1ccc(-c2nsc(-n3nnc4cc(-c5ccnc(N6CCC6)n5)sc43)n2)cc1,22.579921701555016
NCc1ccc2nnc(-n3nc(SSc4nc5ccccc5s4)s3)nc2n1,22.55261067669598
CCn1c(-c2ccc3c(c2)CNCCS3)nnc1-c1nnc(-c2nc(C)ns2)s1,22.527617706635432
Cc1nsc2cc(-c3nn(-c4ccnc(NCc5csnn5)n4)s3)ccc12,22.519077881071215
CC1Nc2ccccc2N=C1CCn1nc(-n2nccn2)nc1-c1ccc2c(c1)OCO2,22.493693134723
C[C@@H]1COc2cc(-n3nnc(-c4sccc4C(=O)O)n3)ccc2N1Cc1nccs1,22.426172904691054
OC1CCCC(n2nnc(-c3ccc(Cn4nnc(-c5cccs5)n4)cc3)n2)SC1,22.35723090217473
c1csc(-c2noc(-n3cc(NCc4ccc(C5SCCS5)cc4)nn3)n2)n1,22.30932971504476
c1cc(NCc2cncs2)nc(-n2ccc(-c3nnc(-c4csnn4)s3)c2)n1,22.30449305254586
CC(C)(C)c1c(-c2ccc(C(=O)O)cc2)nnn1CCSc1nnc2sccn12,22.275509616854485
c1cc(-c2cc3nsnc3n2C2CCC2)nnc1OCc1nc2c(s1)CNCC2,22.26544482778607
COc1cc(-c2nsc(-c3nnc(NC4CN(C(=O)C(C)(C)C)C4)s3)n2)ccn1,22.26068014040847
CSc1ccc2ncn(Cc3ncc(-n4nnnc4-c4cscn4)s3)c2c1,22.21629992671559
CC1OCc2cc(-n3nc(NCc4csnn4)nc3-c3nccs3)ccc2O1,22.20751498355035
S=c1[nH]nnn1-c1ccc(Oc2ccc(-n3cnc(-c4nccs4)n3)cn2)cc1,22.19273035505062
Cc1sc(Cn2c(=O)sc3ccc(O)nc32)cc1-c1nc(-c2cscn2)no1,22.152533208423247
Cc1nsc(-c2nnc(CN3CCC[C@@H](c4cc5nc(N)sc5s4)C3)s2)n1,22.147394688991074
Cn1nc(-c2ccc(Cn3cnc4c(N)nccc43)s2)n2nc(-c3cccs3)nc12,22.13928168922831
O=C(Oc1ccc(-n2cccn2)cc1)C1(Nc2cc(-c3nnsn3)sn2)CCC1,22.134712682919854
CN(C)c1cc(-c2ccc(C(=O)Nc3nnc(N4CCCCC4)s3)nn2)sn1,22.126928428048494
COc1cc(S)nnc1-c1nc(-c2nccs2)n(-c2ccc3c(c2)CNCCO3)n1,22.099049511643422
FCCNc1ccc(-n2nc(-c3cc4ncsc4s3)nc2-c2csnn2)nn1,22.03766079030041
CN1CCCc2sc(-c3csc(-n4nnc(-c5ccc(CC(=O)O)cc5)n4)n3)nc21,22.02473411703641
COc1ccc(-c2nnc(CNc3nc4nc(C(F)(F)F)ccc4s3)s2)cn1,21.894880989757834
CC(=O)N1CCC=C(c2nc(-c3ccc(C)o3)nn2-c2nnc(SS)s2)C1,21.877107464246677
c1ccc(-c2cc(N3CC(Nc4nc(-c5cc6scnn6c5)ns4)C3)on2)nc1,21.856643482027014
Nc1nc([C@@H]2CCCN2Cc2nc3ccccc3o2)n(-c2ccc(-n3ccnn3)s2)n1,21.82698525768801
NC1=S(c2cccs2)N=C(n2cc(CSc3nc4c(s3)CCC4)cn2)N=N1,21.825423994718633
CNc1nc(-c2cccc(N3CCOCC3)n2)cc(-n2cnc(-c3cscn3)n2)n1,21.787582974584865
COc1cc(-n2nnc(-c3nccs3)n2)ccc1CN1CCCc2nc(N)sc2C1,21.744942578444217
Cn1cc(-c2nsc(Nc3ccc(-n4nnn(-c5ccccc5)c4=S)cc3)n2)nn1,21.70875540688178
O=C(NN1CCCC1)Oc1ccc(Oc2ccc(-n3ncc(-c4ncsn4)n3)cc2)cc1,21.70212477360115
c1csc(-c2nsc(-n3ccc(Oc4ccc(-c5nnn(C6CN6)n5)cc4)n3)n2)c1,21.654536641847972
CNc1nc(-c2nccs2)nc(-n2cc(/C=N/N3CSc4ccccc43)cn2)n1,21.654331807053854
c1cnn(-c2cc(Oc3cc(NC4CC4)n4cc(-c5cscn5)nc4n3)sn2)n1,21.65352459468873
O=C(Nc1nc(-c2cscn2)ns1)SCCn1cnc2c1nc1ccccn12,21.525879797103855
O=C(O)COc1cccc(-c2nc(-c3nc4csnc4s3)nn2C2CCS2)c1,21.51264287277718
COc1ccc(-c2nnn(-c3nc4c(s3)CN(c3cc(N)cc(C)n3)CC4)n2)s1,21.506970561766792
CSc1nn2cc(-c3ccnc(-c4cnn(-c5nc(C)cs5)n4)n3)cc2s1,21.453360850911114
O=C(O)/C=C/c1nc(-c2ccn(-c3nsc(=S)s3)n2)nn1-c1ccc(O)cc1,21.434707661333373
Cn1cnc(-c2cn(-c3ccc(Oc4ccn(-c5nc6ccccc6s5)n4)nc3)nn2)c1,21.421494376476783
c1csc(-c2ncn(-c3cc(-c4cnc5ncsc5c4)nc(NC4CC4)n3)n2)n1,21.40636998454888
Cn1nc(-c2ncc(CN3CCC(C(=O)O)C3)s2)c2sc(-c3nncs3)nc21,21.3858681916534
Nc1nc(-n2cc(/C=C/c3cccc(-n4snc4-c4nccs4)c3)nn2)cs1,21.378397780208182
Cn1c2nc(O)sc2c2nc(CSc3nnc(-c4ccc(F)cc4)s3)nn21,21.32698041250806
CSc1nnc(-n2cc(NCc3nnc4nc(Cl)ccn34)c(C(C)(C)C)n2)s1,21.273151043171215
Oc1nnc(-c2cccc(-n3ncc(CSc4nc5cccnc5s4)n3)c2)s1,21.25584066010139
COc1ccc(N2CC[C@@H](Nc3nc(-c4cnc(-c5csnn5)s4)ns3)C2)nc1,21.254135245166157
c1ccc(-n2nnc(-c3nnsc3NCc3ccc4c(c3)OC(c3ccco3)O4)n2)cc1,21.2460449230415
O=C(O)c1sc(N2CCC(c3cccs3)C2)cc1-n1cnc(-c2nnsn2)c1,21.24103012191214
OC[C@H]1CCCN1c1nc(-c2nccs2)c(-c2nnn(-c3ccc(Cl)cc3)n2)s1,21.23429781981933
CNc1nc(-c2ccc3ncnn3c2)cc(-n2c(SC)nnc2-c2cccs2)n1,21.202786452400105
c1nnc(-c2ccc(Cn3nnc(-c4nc(-c5ccc6c(c5)CNC6)ns4)n3)s2)s1,21.184483137045344
CNc1nc(-c2nc(-c3ccc4c(c3)S[C@H](C)CO4)nn2-c2nccs2)ns1,21.15741915332733
CCn1ncc(-c2csc(-c3nnsc3-c3ccc(C4=NCCN4)s3)n2)n1,21.144995366148358
CNc1ncc(-c2nc3c(ncn3Cc3sc(-c4cn(C)nn4)nc3F)s2)s1,21.12141536510508
Sc1cc(-c2nnc(NCc3ccc4c(c3)OCCO4)s2)nc(-n2nccn2)n1,21.120065717001822
Oc1ccc(-n2ncc(-c3nnc(N4CCC[C@@H]4c4nsc(C5CC5)n4)s3)n2)cc1,21.114918966762257
COc1ccc(-n2nc(C=C3CSC(=S)NC3C(=O)O)c(-c3csnn3)n2)cc1,21.061948628404657
CSc1nnc(-c2nc(-c3ccc4c(c3)[C@@H](c3nccs3)NCC4)n(C)n2)s1,21.04326143453031
Cc1ccc(-c2nnn(-c3csc(NC4CCN(c5ccsn5)CC4)n3)n2)o1,21.041313190164306
Cc1nnc(Nc2nc(CN3CCn4nc(-c5cccs5)cc4C3=O)ns2)s1,21.036531364489907
Nc1nc(N2CCCCC2)nc(-n2cc(-c3cscn3)c(-c3ccsc3O)n2)n1,21.035135791040982
c1ccc(CNc2nccc(-n3nnc(-c4nc(-c5nccs5)cs4)n3)n2)cc1,21.03227366030647
Cc1cc(-n2nnc(-c3csnn3)n2)ccc1Cn1cnc2ccc(C(=O)O)cc21,21.012195338537385
CNc1nc(-c2ccc(Cn3cncn3)cc2)c(-n2nnc(-c3cccs3)n2)s1,20.97732936312174
c1nc(-c2nnn(-c3ccc(Oc4nnc(NC5CCCS5)s4)cc3)n2)cs1,20.976533902059618
COc1ccc(-n2ncc(-c3nn(-c4ccc5nc(O)sc5n4)c(=S)s3)n2)cc1,20.94739691941535
O=C1c2ccoc2CCN1CCNc1snnc1-c1snnc1-c1cccs1,20.933831987203476
c1cnn(-c2nc3nc(-c4ccc(Cn5cnc(-c6ccsc6)n5)cc4)[nH]c3s2)n1,20.922696207816195
CSSc1nnc(-c2cn(-c3cccc(N/C(=N\C#N)SC)c3)nn2)s1,20.915291497837863
COc1cnn(-c2ccc(-c3nnc(NCc4ccc5c(c4)SCCO5)s3)cn2)n1,20.906398464166074
Cc1csc(N2CCCC(Nc3cc(-n4cnc(-c5nnsn5)c4)ccn3)C2)n1,20.8996278301888
