SMILES,log-likelihoodog
COc1ccc(-c2cnc(C(=O)O)c3nn(Cc4ccccc4)c(-c4cscn4)c23)cc1,30.627360371836446
COc1cccc2onc(-c3ccc(C)cc3Cn3c(=S)n(O)c(=O)c4ccccc43)c12,28.575454958924997
CC(=O)Nc1ncnc2c1c(Sc1ccc(-c3ccc4ccn(C)c4c3)s1)cn2C,27.426991794860466
COc1ccc(-c2c3cnn-3c(NCC(F)(F)F)nnc2-c2ccc(C)c(C#N)c2)cc1,27.27885745459748
COc1ccc(OC)c2nc(-c3cc(C(C)(C)C)nn3C)c(Nc3ccc(Cl)cn3)nc12,27.10256459057342
COc1ccc(-c2cc(O)c(-n3nccn3)c3sc(C(=O)c4ccc(F)cc4)cc23)cn1,26.764685032840045
COc1ccc(-c2ccc3nc(-n4cnc(C)c4)c(=O)n(-c4ccc(O)cc4)c3c2)s1,26.14296110263182
Cn1ncc2cc(-n3c(-c4ccc(Cl)cc4)cc4cc(OCC(=O)O)ccc43)cnc21,26.059035932862912
COc1ccc(-c2nc3c(-c4cn5ccccc5n4)cn(C)c3n2-c2cccc(O)c2)cc1,26.055730294778584
O=C(O)Cn1c(=O)c2ccsc2c2c(-c3cc(COc4ccccc4)sn3)cccc21,25.991563876925415
Oc1ccc2cc(COc3ccc(-c4ccc(OC(F)(F)F)nn4)s3)ccc2n1,25.826502545998668
CCn1nc(-c2cc(OC)c3nc(Cl)sc3c2)c2c3ccccc3n(CC(=O)O)c21,25.692462764843217
O=C1CC(c2cccc3oc(-c4ccc(O)s4)nc23)CCN1CCOc1ccccc1,25.475328520259602
COc1ccc(OC)c(-c2ccc(Nc3ccc4c(c3)OCc3ccccc3O4)nn2)c1,25.367207765592628
COc1cccc(-c2ccc3c(c2)nnn3Cc2ccc(-c3ccn(C(=O)O)c3)s2)c1,25.17041797284958
COc1ccc2nc(-c3cc4ccccc4n3Cc3ccc4c(c3)OCO4)n(C)c2c1N,24.98213546624279
CCn1c(Sc2c(C(=O)O)ccn2-c2ccc3nc(C)cnc3c2)nc2ccccc21,24.974828721687132
