SMILES,log-likelihoodog
CSc1cc(-c2ncc3cc(O)cn3n2)sc1-n1cc(-c2nncs2)nn1,25.19332975287932
CNc1nc(-c2csnn2)nc(-c2ccc(Oc3nccc4c3COCC4)s2)n1,24.184085355376283
Nc1nc(-c2nc3c(n2-c2ccc(Oc4ccc(-n5ccnn5)cc4)s2)CC3)ns1,23.856877377907935
CSCc1nc(Cl)n(-c2nc(-c3nnc(N)s3)sc2-c2nccs2)n1,22.09627721586519
Nc1nc(C2CN(c3ccc(Oc4nsc(-c5nccs5)n4)cc3)CS2)no1,22.032343633549512
COc1ccc(-c2nsc(NN=C(C3CC3)n3ncc4nc(=S)snc43)n2)cc1,21.723899557224726
O=C(O)c1cnc(COc2ccc3c(c2)sn3-c2nnn(-c3ccccc3)n2)s1,21.693064280007256
CC1(C(=O)O)CCN(c2snnc2-c2sccc2-n2nnnc2-c2ccsc2)C1,21.68988595470126
Nc1nsc(-c2nnc(SOc3ccc(-n4ccc5c(c4=O)CCC5)cc3)s2)n1,21.575263478897114
CNc1ccnc(-n2ccc(-c3nnc(SSc4nc5ccccc5s4)o3)n2)n1,21.14414860734737
C/C(=N\Nc1nc(-n2c(-c3cccs3)nc3cccnc32)ns1)c1nccs1,21.00611526211694
CNc1nc(-c2ccc(SC)nn2)c(-c2nc3ccc(-n4cnnn4)cc3s2)s1,20.98989697144195
COc1nc(-n2cccn2)cn1-c1csc(-c2nsc(-c3cccs3)n2)n1,20.90847104647829
COc1ccc2cc(-c3nnc4sc(-c5nnnn5-c5ccccc5)cn34)sc2n1,20.84456860740255
COC(=O)c1ccc(CNc2snnc2-c2nnc(-c3cscn3)s2)s1,20.808029251577757
CC1C=Nc2nc(-c3ccc(OSc4nnn(-c5ccc(Cl)cc5)n4)cc3)nn21,20.7809017059555
COc1cnc(-c2nn3cc(CNc4nc(-c5cccs5)ns4)nc3s2)cn1,20.65221095258005
COc1ccc(-c2nsc(NN=C3c4ccccc4SC3c3nnns3)n2)cc1,20.52583190278146
CNc1nnnn1/N=C/c1ccc(-n2c(-c3ccc(OC)cc3)nsc2=S)cn1,20.407523399896725
c1cncc(-c2nnc(-n3ccc(SSc4nc5ccccc5s4)n3)nn2)c1,20.336380580135508
CSc1ccc(-n2cc(-c3nc(-c4csnn4)nn3-c3ccccc3)nn2)cc1,20.26931243318607
CCN[C@@H]1COc2ccc(-n3nc(-c4csnn4)nc3-c3nccs3)cc2S1,20.12678420194661
Nc1ccc(-c2nc(Sc3nccs3)c(-c3nnn(-c4ccccc4)n3)s2)nc1,20.10754411577968
CSSc1nc2ccc(-c3nn(-c4ccccc4)nc3-c3csnn3)cn2n1,19.78498676902388
CNc1nsc(-c2nc(N3CCCC3)ncc2-c2nc(-c3nccs3)ns2)n1,19.74172475130155
CSc1nnc(-c2nn(-c3cccc(-c4nc(N)nc(F)n4)c3)c(=S)s2)n1C,19.49699351941529
CSc1snnc1-c1sc(-c2nccs2)nc1-c1cn(-c2ccccn2)nn1,19.473300268358432
COc1ccc(-c2nsc(NN=C(Sc3ccc4c(c3)OCO4)C(=O)O)n2)cc1,19.455515322655693
CSc1nsc(-n2cnc(-n3nnc(-c4cccs4)n3)c2-c2ccccc2)n1,19.442033543880097
CNc1nc(-n2cc(-c3cscn3)nn2)nc(-n2ccc3cc(SC)ccc32)n1,19.41962809224632
OCCn1nnnc1-c1cc2sc(-c3nc(-c4cccs4)ns3)nc2s1,19.39099602994938
CNc1nc(-n2nnc(-c3cccs3)n2)ccc1SSc1ncc(Cl)nn1,19.251932256718224
Cc1cn(-c2nccc(N3CCCC/C3=N\Nc3nc(-c4cccs4)ns3)n2)nn1,19.16245478051732
CSc1nc(-c2nnsn2)n(-c2ccc(N/N=C3/CCC4(CCCO4)C3)cc2)n1,19.02236358236791
CSc1nn2cc(Oc3cccc(-n4nnnc4-c4cccs4)n3)cc2s1,19.011492465612694
O=C(O)CSc1cc(-c2nnc(-c3csnn3)s2)n(-c2ccc3c(c2)COC3)n1,18.967384756534333
COc1cnc(-c2nc(-c3cc(-c4nnn[nH]4)cs3)c(N3CCOCC3)s2)s1,18.76171159709793
